Port_ID,Longitude,Latitude
12900,-43.1500,-22.8167
12930,-43.1167,-22.8833
14470,-71.6167,-33.5833
35580,-1.4000,50.9000
35840,0.1167,49.4833
48276,55.0500,25.0167
48617,69.7000,22.7333
49930,101.4000,3.0000
49982,103.9000,1.4333
49995,103.9500,1.4000
50000,103.8500,1.2833
50010,103.7667,1.2333
50015,103.8000,1.2000
50017,103.7333,1.2833
50970,106.8833,-6.1000
51130,112.7333,-7.2000
51587,103.5500,1.3500
53610,151.7833,-32.9167
54520,115.7500,-32.0500
54605,116.7167,-20.6333
57840,114.2000,22.2667
57857,114.2667,22.5833
57860,116.6833,23.3667
57870,118.0667,24.4500
57872,118.1500,24.6833
57874,118.6000,24.8833
57890,121.7667,25.1333
57920,120.2500,22.6167
57935,121.4000,25.1833
57950,119.5333,23.5833
57955,120.5000,24.3000
59015,123.6333,10.3667
59970,121.5000,31.2167
59976,121.2000,31.6500
59990,120.4000,31.9667
59991,120.8000,32.0000
60140,120.2667,36.0333
60160,121.4500,37.5500
60165,120.8333,37.8167
60220,122.2333,40.6833
60230,122.0833,40.3000
60250,121.6667,38.9167
60390,129.0333,35.1000
61372,139.8833,35.3667
61380,139.7500,35.6667
61385,139.7667,35.5000
61390,139.6833,35.4667
61425,138.2333,34.6000
NULL,138.5000,35.0167
61480,136.8667,35.0667
NULL,135.1333,34.2000
61547,135.4333,34.5500
61550,135.4333,34.6500
61555,135.3833,34.7000
61560,135.1833,34.6500
61566,134.6500,34.7667
61650,132.4667,34.3500
61675,131.8667,34.0000
61935,135.3500,34.4667
62115,130.8167,33.9167
62121,130.8167,33.8667
62140,130.9667,33.9500
62160,131.6667,33.2500
62430,130.4000,33.6000
70,-22.5500,64.0000
75,-22.0500,64.0500
80,-21.9500,64.0667
90,-22.0167,64.1500
100,-21.9333,64.1500
105,-22.0000,64.2667
160,-23.6000,65.6833
170,-23.4833,65.8833
185,-23.2333,66.1667
190,-23.1167,66.0667
230,-20.3000,65.6667
240,-20.3167,65.8333
250,-19.6667,65.7500
260,-18.9167,66.1500
270,-18.6333,66.0833
280,-18.5167,65.9833
310,-18.0833,65.6833
320,-17.3333,66.0333
330,-16.4500,66.2833
340,-15.9333,66.4500
380,-14.8333,65.7500
400,-14.0000,65.2667
420,-13.6833,65.1500
430,-14.0167,65.0667
450,-14.0167,64.9333
470,-14.2833,64.6667
480,-15.2333,64.2500
510,-20.2833,63.4333
542,-42.2167,61.5167
543,-42.2167,61.7667
560,-45.2000,60.1167
580,-46.0500,60.7167
585,-46.0500,60.9167
590,-45.4333,61.1500
605,-48.1000,61.2333
610,-49.6667,62.0000
630,-51.5500,63.7000
640,-51.7500,64.1833
670,-52.9167,65.4167
680,-53.3000,65.8167
690,-53.7000,66.9167
695,-50.9500,66.9667
700,-53.7333,67.9500
760,-52.8667,68.7000
790,-51.1833,68.8167
810,-51.1000,69.2167
840,-53.5333,69.2333
